epoch,step,train/c4_total_loss_epoch,train/c4_total_loss_step,train/f_prediction_alignment_mse_epoch,train/f_prediction_alignment_mse_step,train/goal_task_fraction_epoch,train/goal_task_fraction_step,train/loss_epoch,train/loss_step,train/predicted_goal_loss_epoch,train/predicted_goal_loss_step,train/predicted_prediction_mean_epoch,train/predicted_prediction_mean_step,train/predicted_vector_loss_epoch,train/predicted_vector_loss_step,train/random_task_fraction_epoch,train/random_task_fraction_step,train/real_goal_loss_epoch,train/real_goal_loss_step,train/real_prediction_mean_epoch,train/real_prediction_mean_step,train/real_vector_loss_epoch,train/real_vector_loss_step,train/td_pairs_epoch,train/td_pairs_step,train/td_target_mean_epoch,train/td_target_mean_step,train/terminal_fraction_epoch,train/terminal_fraction_step,validation/c4_total_loss,validation/f_prediction_alignment_mse,validation/goal_task_fraction,validation/loss,validation/predicted_goal_loss,validation/predicted_prediction_mean,validation/predicted_vector_loss,validation/random_task_fraction,validation/real_goal_loss,validation/real_prediction_mean,validation/real_vector_loss,validation/td_pairs,validation/td_target_mean,validation/terminal_fraction
0,49,,17170.98828125,,0.0046788486652076244,,0.46484375,,17170.98828125,,16970.408203125,,-0.005126953125,,199.91604614257812,,0.53515625,,16971.73828125,,-0.005035400390625,,199.91358947753906,,256.0,,0.0026182420551776886,,0.0078125,,,,,,,,,,,,,,
0,99,,18196.78125,,0.004781289957463741,,0.45703125,,18196.78125,,18005.169921875,,-0.0034332275390625,,195.55661010742188,,0.54296875,,17997.30078125,,-0.00341796875,,195.53651428222656,,256.0,,0.0031545439269393682,,0.00390625,,,,,,,,,,,,,,
0,149,,17203.70703125,,0.0049137817695736885,,0.49609375,,17203.70703125,,17010.501953125,,-0.00244140625,,196.13726806640625,,0.50390625,,17004.7265625,,-0.00238037109375,,196.05172729492188,,256.0,,0.014696749858558178,,0.01171875,,,,,,,,,,,,,,
0,199,,16242.57421875,,0.004541597329080105,,0.49609375,,16242.57421875,,16053.966796875,,-0.000499725341796875,,191.6529541015625,,0.50390625,,16047.95703125,,-0.0003414154052734375,,191.5701904296875,,256.0,,0.005986807402223349,,0.0078125,,,,,,,,,,,,,,
0,249,,18082.578125,,0.004699695855379105,,0.42578125,,18082.578125,,17889.34765625,,0.00095367431640625,,192.49949645996094,,0.57421875,,17890.810546875,,0.0009613037109375,,192.5006561279297,,256.0,,0.004816891625523567,,0.0,,,,,,,,,,,,,,
0,299,,17336.498046875,,0.005453660152852535,,0.47265625,,17336.498046875,,17142.892578125,,0.0025177001953125,,190.88681030273438,,0.52734375,,17148.361328125,,0.00250244140625,,190.8555450439453,,256.0,,0.002456036629155278,,0.0078125,,,,,,,,,,,,,,
0,349,,15934.755859375,,0.004849572665989399,,0.4375,,15934.755859375,,15745.8828125,,0.00628662109375,,189.7663116455078,,0.5625,,15744.10546875,,0.00616455078125,,189.75784301757812,,256.0,,0.008441394194960594,,0.0078125,,,,,,,,,,,,,,
0,399,,13958.33984375,,0.00473879836499691,,0.49609375,,13958.33984375,,13767.2998046875,,0.0076904296875,,184.68017578125,,0.50390625,,13780.0751953125,,0.007659912109375,,184.62435913085938,,256.0,,0.008550504222512245,,0.0,,,,,,,,,,,,,,
0,449,,14933.73828125,,0.004622691310942173,,0.5078125,,14933.73828125,,14740.916015625,,0.01300048828125,,189.03733825683594,,0.4921875,,14748.5556640625,,0.0130615234375,,188.9667510986328,,256.0,,0.016496073454618454,,0.01171875,,,,,,,,,,,,,,
0,499,,11311.3310546875,,0.005108570214360952,,0.45703125,,11311.3310546875,,11106.791015625,,0.017333984375,,195.7980499267578,,0.54296875,,11124.3828125,,0.0174560546875,,195.68995666503906,,256.0,,0.017334161326289177,,0.0078125,,,,,,,,,,,,,,
0,549,,11705.392578125,,0.004768901504576206,,0.44921875,,11705.392578125,,11481.4384765625,,0.02783203125,,219.72509765625,,0.55078125,,11489.6689453125,,0.028076171875,,219.95272827148438,,256.0,,0.015581009909510612,,0.0078125,,,,,,,,,,,,,,
0,599,,9987.828125,,0.004670967813581228,,0.4375,,9987.828125,,9698.4375,,0.036865234375,,285.5533447265625,,0.5625,,9706.7236328125,,0.036865234375,,284.94183349609375,,256.0,,0.015118605457246304,,0.01171875,,,,,,,,,,,,,,
