variant,method_id,method_label,epoch,global_step,train/base_hybrid_td_loss_epoch,train/compressed_cache_gib_epoch,train/ema_next_action_embedding_mean_epoch,train/goal_offset_mean_epoch,train/goal_task_fraction_epoch,train/loss_epoch,train/method_hybrid_td_loss_epoch,train/online_action_embedding_mean_epoch,train/predicted_advantage_mean_epoch,train/predicted_base_td_loss_epoch,train/predicted_goal_projection_loss_epoch,train/predicted_goal_score_residual_mean_epoch,train/predicted_method_td_loss_epoch,train/predicted_neighbor_objective_available_epoch,train/predicted_weight_mean_epoch,train/predicted_weight_std_epoch,train/prediction_loss_epoch,train/random_task_fraction_epoch,train/real_advantage_mean_epoch,train/real_base_td_loss_epoch,train/real_goal_projection_loss_epoch,train/real_goal_score_residual_mean_epoch,train/real_method_td_loss_epoch,train/real_neighbor_objective_available_epoch,train/real_weight_mean_epoch,train/real_weight_std_epoch,train/sigreg_loss_epoch,train/td_pairs_epoch,train/td_weight_scale_epoch,train/terminal_fraction_epoch,train/unique_episodes_per_batch_epoch,validation/base_hybrid_td_loss,validation/ema_next_action_embedding_mean,validation/goal_offset_mean,validation/goal_task_fraction,validation/loss,validation/method_hybrid_td_loss,validation/online_action_embedding_mean,validation/predicted_advantage_mean,validation/predicted_base_td_loss,validation/predicted_goal_projection_loss,validation/predicted_goal_score_residual_mean,validation/predicted_method_td_loss,validation/predicted_neighbor_objective_available,validation/predicted_weight_mean,validation/predicted_weight_std,validation/prediction_loss,validation/random_task_fraction,validation/real_advantage_mean,validation/real_base_td_loss,validation/real_goal_projection_loss,validation/real_goal_score_residual_mean,validation/real_method_td_loss,validation/real_neighbor_objective_available,validation/real_weight_mean,validation/real_weight_std,validation/sigreg_loss,validation/td_pairs,validation/td_weight_scale,validation/terminal_fraction
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,1,12796,2785.9111328125,2.172938346862793,-0.23351253569126129,4.500269889831543,0.50036531686782837,9738.6767578125,14482.759765625,-0.23341599106788635,,1224.731201171875,5662.1435546875,-0.74465745687484741,6886.84912109375,,,,0.42926615476608276,0.49963465332984924,,1561.1768798828125,6034.69580078125,-1.484559178352356,7595.84619140625,,,,8.3327627182006836,120,0.75003910064697266,0.00061672687297686934,8,1989.5672607421875,-0.23117728531360626,4.5017452239990234,0.49979826807975769,1994.6571044921875,14431.634765625,-0.2302764356136322,,825.7340087890625,5716.1982421875,3.6953814029693604,6541.9296875,,,,0.72465771436691284,0.5002017617225647,,1163.8260498046875,6725.9111328125,2.7107377052307129,7889.71484375,,,,48.578121185302734,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,2,25592,1731.3338623046875,2.1563630104064941,-0.22455067932605743,4.4954051971435547,0.50005781650543213,12606.6708984375,12604.267578125,-0.22548931837081909,,656.64990234375,5252.90478515625,0.79788631200790405,5909.58056640625,,,,0.90253591537475586,0.49994221329689026,,1074.685546875,5620.013671875,0.26345974206924438,6694.66259765625,,,,17.001996994018555,120,1,0.00062584428815171123,8,1351.6397705078125,-0.23391902446746826,4.5017452239990234,0.49979826807975769,1357.4609375,13830.259765625,-0.23557031154632568,,602.1649169921875,6072.53759765625,-12.178376197814941,6674.7177734375,,,,1.0358753204345703,0.5002017617225647,,749.475830078125,6406.10693359375,-11.726008415222168,7155.57568359375,,,,53.204822540283203,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,3,38388,1356.70849609375,2.1602053642272949,-0.21502378582954407,4.4980039596557617,0.49974268674850464,13152.681640625,13149.5556640625,-0.21569523215293884,,502.32916259765625,5745.1318359375,1.1254611015319824,6247.4765625,,,,1.1881160736083984,0.50025737285614014,,854.37689208984375,6047.685546875,0.69106197357177734,6902.0517578125,,,,21.861196517944336,120,1,0.00062128528952598572,8,1289.4168701171875,-0.21878373622894287,4.5017452239990234,0.49979826807975769,1296.1767578125,14640.1064453125,-0.21853059530258179,,540.64813232421875,6486.65771484375,-17.05351448059082,7027.30810546875,,,,1.3879904747009277,0.5002017617225647,,748.76666259765625,6864.01953125,-15.498682975769043,7612.7978515625,,,,59.719711303710938,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,4,51184,1220.8577880859375,2.161369800567627,-0.1984725147485733,4.4986062049865723,0.49965539574623108,13361.5126953125,13358.0439453125,-0.19927285611629486,,445.79348754882812,5930.95849609375,1.2822929620742798,6376.74951171875,,,,1.4141949415206909,0.50034463405609131,,775.06866455078125,6206.22021484375,0.9049409031867981,6981.30224609375,,,,23.039884567260742,120,1,0.00062193686608225107,8,1222.83837890625,-0.20232886075973511,4.5017452239990234,0.49979826807975769,1229.47119140625,14800.03125,-0.20362572371959686,,537.57147216796875,6680.46826171875,-17.898120880126953,7218.04345703125,,,,1.5754842758178711,0.5002017617225647,,685.27044677734375,6896.72265625,-16.262645721435547,7582.0029296875,,,,56.112018585205078,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,5,63980,1065.3389892578125,2.1678235530853271,-0.19056048989295959,4.4956426620483398,0.49968770146369934,12502.79296875,12498.9580078125,-0.19155895709991455,,394.14837646484375,5599.228515625,1.2903165817260742,5993.3916015625,,,,1.5451462268829346,0.50031238794326782,,671.189453125,5834.40283203125,1.031015157699585,6505.6240234375,,,,24.613306045532227,120,1,0.00061802956042811275,8,1009.5697021484375,-0.19382235407829285,4.5017452239990234,0.49979826807975769,1016.2947387695312,12573.193359375,-0.19484987854957581,,426.19937133789062,5675.49951171875,1.8553599119186401,6101.7119140625,,,,1.623134970664978,0.5002017617225647,,583.36981201171875,5888.0771484375,2.9487643241882324,6471.4462890625,,,,56.709083557128906,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,6,76776,960.27069091796875,2.1641972064971924,-0.18551810085773468,4.4991860389709473,0.50002747774124146,11619.2109375,11615.205078125,-0.18659020960330963,,356.9677734375,5222.99755859375,1.2945436239242554,5579.982421875,,,,1.6285083293914795,0.49997252225875854,,603.30224609375,5431.94677734375,1.0874115228652954,6035.24365234375,,,,26.235288619995117,120,1,0.00062584446277469397,8,883.36151123046875,-0.18675178289413452,4.5017452239990234,0.49979826807975769,890.19451904296875,12008.0009765625,-0.18790136277675629,,366.65060424804688,5501.22900390625,-4.4162068367004395,5867.87548828125,,,,1.6649104356765747,0.5002017617225647,,516.7117919921875,5623.41015625,-0.59866082668304443,6140.1552734375,,,,57.371421813964844,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,7,89572,865.76641845703125,2.1628201007843018,-0.18005099892616272,4.501929759979248,0.50007057189941406,11069.927734375,11065.798828125,-0.18100389838218689,,322.1226806640625,5012.04931640625,1.3146734237670898,5334.1669921875,,,,1.6788321733474731,0.49992945790290833,,543.64697265625,5187.95556640625,1.1438050270080566,5731.60546875,,,,27.746591567993164,120,1,0.00061802973505109549,8,811.69482421875,-0.17996715009212494,4.5017452239990234,0.49979826807975769,818.50555419921875,11249.88671875,-0.18150360882282257,,340.67562866210938,5141.1201171875,-6.1336760520935059,5481.79296875,,,,1.7166774272918701,0.5002017617225647,,471.01846313476562,5297.09765625,-4.3373417854309082,5768.1005859375,,,,56.584747314453125,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,8,102368,811.1572265625,2.1571743488311768,-0.17485666275024414,4.5029149055480957,0.50040566921234131,11190.4921875,11186.185546875,-0.17592114210128784,,301.2098388671875,5107.3369140625,1.434903621673584,5408.5419921875,,,,1.7289489507675171,0.49959442019462585,,509.94625854492188,5267.66845703125,1.2787095308303833,5777.62353515625,,,,28.996736526489258,120,1,0.0006258441717363894,8,748.51104736328125,-0.1732352077960968,4.5017452239990234,0.49979826807975769,755.30096435546875,10619.4892578125,-0.17417658865451813,,304.86239624023438,4849.01513671875,-3.9556076526641846,5153.86572265625,,,,1.7994482517242432,0.5002017617225647,,443.649658203125,5021.93994140625,-1.9498234987258911,5465.5947265625,,,,55.457252502441406,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,9,115164,779.80682373046875,2.1707074642181396,-0.17010152339935303,4.4993810653686523,0.49970301985740662,9926.6142578125,9922.310546875,-0.17114974558353424,,287.48373413085938,4495.31640625,1.282561182975769,4782.7822265625,,,,1.7314877510070801,0.500296950340271,,492.323486328125,4647.21142578125,1.1837825775146484,5139.50537109375,,,,28.641607284545898,120,1,0.00061737815849483013,8,686.18121337890625,-0.17010572552680969,4.5017452239990234,0.49979826807975769,692.82574462890625,9795.73828125,-0.17130866646766663,,273.96517944335938,4480.98876953125,-1.2013118267059326,4754.958984375,,,,1.8007299900054932,0.5002017617225647,,412.21487426757812,4628.57373046875,0.24937137961387634,5040.78125,,,,53.8431396484375,120,1,0.0006230499129742384
c,actor_free_td_lewm_v2_c,V2-C Coupled Hybrid Goal-Projected TD,10,127960,783.31683349609375,2.1633486747741699,-0.16868019104003906,4.502997875213623,0.50024294853210449,10243.14453125,10238.8447265625,-0.16977709531784058,,289.65908813476562,4650.8740234375,1.3937007188796997,4940.54541015625,,,,1.726842999458313,0.49975699186325073,,493.6566162109375,4804.62158203125,1.2236729860305786,5298.28564453125,,,,29.029462814331055,120,1,0.00062323926249518991,8,737.1136474609375,-0.16896910965442657,4.5017452239990234,0.49979826807975769,743.9375,10234.8359375,-0.17006717622280121,,285.72103881835938,4651.2626953125,-0.76917022466659546,4936.97216796875,,,,1.8485292196273804,0.5002017617225647,,451.39443969726562,4846.4716796875,-0.95453393459320068,5297.85888671875,,,,55.269737243652344,120,1,0.0006230499129742384
