variant,method_id,method_label,epoch,global_step,train/base_td_loss_epoch,train/goal_projection_loss_epoch,train/goal_score_residual_mean_epoch,train/goal_task_fraction_epoch,train/loss_epoch,train/method_td_loss_epoch,train/neighbor_advantage_mean_epoch,train/neighbor_objective_available_epoch,train/prefix_marginal_advantage_mean_epoch,train/prefix_mean_advantage_mean_epoch,train/random_task_fraction_epoch,train/same_future_advantage_mean_epoch,train/target_goal_score_mean_epoch,train/td_pairs_epoch,train/td_prediction_mean_epoch,train/td_target_mean_epoch,train/terminal_fraction_epoch,train/weight_mean_epoch,train/weight_std_epoch,validation/base_td_loss,validation/goal_projection_loss,validation/goal_score_residual_mean,validation/goal_task_fraction,validation/loss,validation/method_td_loss,validation/neighbor_objective_available,validation/prefix_marginal_advantage_mean,validation/prefix_mean_advantage_mean,validation/random_task_fraction,validation/same_future_advantage_mean,validation/target_goal_score_mean,validation/td_pairs,validation/td_prediction_mean,validation/td_target_mean,validation/terminal_fraction,validation/weight_mean,validation/weight_std
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,1,12796,2393.1279296875,20266.708984375,-9.5094232559204102,0.49977013468742371,22659.810546875,22659.810546875,,,,,0.50022989511489868,,,256,0.95761668682098389,0.90184521675109863,0.0050531537272036076,,,2545.97998046875,9467.171875,-10.270188331604004,0.49980771541595459,2545.97998046875,12013.150390625,,,,0.50019228458404541,,,255.98416137695312,1.1515579223632812,1.0885546207427979,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,2,25592,2442.888916015625,28966.75390625,4.1101102828979492,0.49967214465141296,31409.728515625,31409.728515625,,,,,0.50032788515090942,,,256,0.90674805641174316,0.87671411037445068,0.005130997858941555,,,1834.1993408203125,7992.15625,-4.4445052146911621,0.49980771541595459,1834.1993408203125,9826.3447265625,,,,0.50019228458404541,,,255.98416137695312,0.76725941896438599,0.73358839750289917,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,3,38388,1798.3773193359375,26997.734375,5.1983189582824707,0.49988675117492676,28796.0390625,28796.0390625,,,,,0.50011324882507324,,,256,0.64133518934249878,0.62274754047393799,0.0050992495380342007,,,1455.2818603515625,7328.86474609375,-2.1966328620910645,0.49980771541595459,1455.2818603515625,8784.1494140625,,,,0.50019228458404541,,,255.98416137695312,0.56448668241500854,0.52948760986328125,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,4,51184,1477.0692138671875,26315.556640625,5.7371363639831543,0.49983087182044983,27792.6875,27792.6875,,,,,0.50016909837722778,,,256,0.45997682213783264,0.44800874590873718,0.0051245870999991894,,,1251.2281494140625,7023.2119140625,-7.8737483024597168,0.49980771541595459,1251.2281494140625,8274.435546875,,,,0.50019228458404541,,,255.98416137695312,0.44363048672676086,0.43762308359146118,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,5,63980,1327.8873291015625,25841.8671875,6.2154874801635742,0.50021523237228394,27169.6796875,27169.6796875,,,,,0.49978479743003845,,,256,0.38145321607589722,0.37340435385704041,0.0051004709675908089,,,1143.2080078125,6693.56005859375,-4.3219876289367676,0.49980771541595459,1143.2080078125,7836.76171875,,,,0.50019228458404541,,,255.98416137695312,0.33608251810073853,0.3316134512424469,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,6,76776,1247.82568359375,25858.2890625,6.4748344421386719,0.50005710124969482,27106.166015625,27106.166015625,,,,,0.49994292855262756,,,256,0.33439642190933228,0.32743439078330994,0.0050775753334164619,,,1092.524169921875,6500.22021484375,-5.840580940246582,0.49980771541595459,1092.524169921875,7592.73486328125,,,,0.50019228458404541,,,255.98416137695312,0.2995581328868866,0.30696839094161987,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,7,89572,1197.71875,25841.21875,6.8333654403686523,0.49928626418113708,27038.94921875,27038.94921875,,,,,0.50071370601654053,,,256,0.31252658367156982,0.3057248592376709,0.0051496196538209915,,,1054.745361328125,6299.6259765625,-3.0458972454071045,0.49980771541595459,1054.745361328125,7354.36376953125,,,,0.50019228458404541,,,255.98416137695312,0.33706048130989075,0.33258256316184998,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,8,102368,1169.3419189453125,25564.595703125,6.8568968772888184,0.4995274543762207,26733.876953125,26733.876953125,,,,,0.5004725456237793,,,256,0.32243755459785461,0.31579974293708801,0.005103828851133585,,,1043.3394775390625,6208.3271484375,-0.65017122030258179,0.49980771541595459,1043.3394775390625,7251.66650390625,,,,0.50019228458404541,,,255.98416137695312,0.33314651250839233,0.32293131947517395,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,9,115164,1157.299072265625,25353.490234375,6.9811115264892578,0.50030529499053955,26510.76953125,26510.76953125,,,,,0.49969473481178284,,,256,0.29962256550788879,0.294260174036026,0.0050494903698563576,,,1033.4224853515625,6207.99609375,-2.7961175441741943,0.49980771541595459,1033.4224853515625,7241.435546875,,,,0.50019228458404541,,,255.98416137695312,0.30505341291427612,0.29360118508338928,0.0010014981962740421,,
c,actor_free_td_lewm_v0_c,V0-C Goal-Projected TD,10,127960,1153.2730712890625,25398.216796875,7.0623288154602051,0.49998870491981506,26551.4765625,26551.4765625,,,,,0.50001126527786255,,,256,0.29528155922889709,0.28968134522438049,0.0050223213620483875,,,1033.2802734375,6221.9794921875,-2.5919239521026611,0.49980771541595459,1033.2802734375,7255.26171875,,,,0.50019228458404541,,,255.98416137695312,0.3121800422668457,0.30480781197547913,0.0010014981962740421,,
