epoch,step,train/delta_primitive_mean_epoch,train/delta_primitive_mean_step,train/exact_target_fraction_epoch,train/exact_target_fraction_step,train/finite_fraction_epoch,train/finite_fraction_step,train/goal_identity_max_epoch,train/goal_identity_max_step,train/goal_identity_mean_epoch,train/goal_identity_mean_step,train/loss_epoch,train/loss_step,train/n_eff_primitive_mean_epoch,train/n_eff_primitive_mean_step,train/td_prediction_mean_epoch,train/td_prediction_mean_step,train/td_residual_mae_epoch,train/td_residual_mae_step,train/td_residual_mean_epoch,train/td_residual_mean_step,train/td_target_mean_epoch,train/td_target_mean_step,validation/delta_primitive_mean,validation/exact_target_fraction,validation/finite_fraction,validation/global_step,validation/goal_identity_max,validation/goal_identity_mean,validation/logical_epoch,validation/loss,validation/mc_mae,validation/mc_mse,validation/monotonic_ranking_accuracy,validation/n_eff_primitive_mean,validation/samples,validation/spearman,validation/td_prediction_mean,validation/td_residual_mae,validation/td_residual_mean,validation/td_target_mean
0,49,,32.32421875,,0.775390625,,1.0,,0.0,,0.0,,0.4381366968154907,,43.3984375,,11.678048133850098,,13.842123985290527,,-13.726116180419922,,25.404163360595703,,,,,,,,,,,,,,,,,,
0,99,,32.6318359375,,0.779296875,,1.0,,0.0,,0.0,,0.42714202404022217,,43.5546875,,12.341585159301758,,13.503652572631836,,-13.375028610229492,,25.71661376953125,,,,,,,,,,,,,,,,,,
0,149,,32.8955078125,,0.7705078125,,1.0,,0.0,,0.0,,0.4139239490032196,,43.7255859375,,12.590616226196289,,13.339984893798828,,-13.241148948669434,,25.831764221191406,,,,,,,,,,,,,,,,,,
0,199,,32.490234375,,0.7802734375,,1.0,,0.0,,0.0,,0.42436784505844116,,43.408203125,,13.077760696411133,,13.025510787963867,,-12.870386123657227,,25.94814682006836,,,,,,,,,,,,,,,,,,
0,249,,31.5576171875,,0.810546875,,1.0,,0.0,,0.0,,0.3901183009147644,,44.08203125,,13.62769603729248,,12.377176284790039,,-12.263568878173828,,25.891265869140625,,,,,,,,,,,,,,,,,,
0,299,,32.2998046875,,0.787109375,,1.0,,0.0,,0.0,,0.3934449851512909,,43.271484375,,13.863578796386719,,12.158187866210938,,-12.009624481201172,,25.873205184936523,,,,,,,,,,,,,,,,,,
0,349,,30.8203125,,0.794921875,,1.0,,0.0,,0.0,,0.36539268493652344,,43.3740234375,,13.022751808166504,,11.783833503723145,,-11.682621955871582,,24.705373764038086,,,,,,,,,,,,,,,,,,
0,399,,31.6552734375,,0.79296875,,1.0,,0.0,,0.0,,0.38180670142173767,,43.5791015625,,14.001734733581543,,11.661046981811523,,-11.507993698120117,,25.509729385375977,,,,,,,,,,,,,,,,,,
0,449,,32.5048828125,,0.78125,,1.0,,0.0,,0.0,,0.3916315734386444,,43.1494140625,,13.68239974975586,,12.455495834350586,,-12.33488655090332,,26.01728630065918,,,,,,,,,,,,,,,,,,
0,499,,31.875,,0.7900390625,,1.0,,0.0,,0.0,,0.36770927906036377,,43.8037109375,,14.09841537475586,,11.672786712646484,,-11.549817085266113,,25.648231506347656,,,,,,,,,,,,,,,,,,
0,549,,33.3740234375,,0.76953125,,1.0,,0.0,,0.0,,0.3809696137905121,,44.2919921875,,14.038250923156738,,12.660404205322266,,-12.597305297851562,,26.635555267333984,,,,,,,,,,,,,,,,,,
0,599,,31.6357421875,,0.7919921875,,1.0,,0.0,,0.0,,0.3701407015323639,,43.798828125,,14.216243743896484,,11.540779113769531,,-11.40369987487793,,25.619945526123047,,,,,,,,,,,,,,,,,,
0,649,,33.0029296875,,0.77734375,,1.0,,0.0,,0.0,,0.4013686776161194,,43.5400390625,,13.530146598815918,,13.009157180786133,,-12.920654296875,,26.4507999420166,,,,,,,,,,,,,,,,,,
0,699,,32.8955078125,,0.7607421875,,1.0,,0.0,,0.0,,0.37269115447998047,,43.3154296875,,13.666972160339355,,12.288043022155762,,-12.208283424377441,,25.875255584716797,,,,,,,,,,,,,,,,,,
0,749,,31.552734375,,0.7919921875,,1.0,,0.0,,0.0,,0.36256644129753113,,42.7392578125,,13.900906562805176,,11.7249755859375,,-11.629640579223633,,25.530548095703125,,,,,,,,,,,,,,,,,,
0,799,,33.5498046875,,0.7626953125,,1.0,,0.0,,0.0,,0.4007554054260254,,43.7255859375,,13.907349586486816,,12.838231086730957,,-12.72801399230957,,26.635364532470703,,,,,,,,,,,,,,,,,,
0,849,,31.9091796875,,0.7890625,,1.0,,0.0,,0.0,,0.36774200201034546,,43.22265625,,14.210592269897461,,11.757349014282227,,-11.644071578979492,,25.854663848876953,,,,,,,,,,,,,,,,,,
0,899,,32.6953125,,0.7734375,,1.0,,0.0,,0.0,,0.38206109404563904,,43.515625,,14.16762638092041,,12.08420181274414,,-11.967084884643555,,26.13471221923828,,,,,,,,,,,,,,,,,,
0,949,,32.578125,,0.7724609375,,1.0,,0.0,,0.0,,0.38000503182411194,,42.9638671875,,13.263165473937988,,12.658369064331055,,-12.598508834838867,,25.861675262451172,,,,,,,,,,,,,,,,,,
0,999,,32.1923828125,,0.7919921875,,1.0,,0.0,,0.0,,0.3795052170753479,,43.9111328125,,13.883853912353516,,12.194218635559082,,-12.08604907989502,,25.96990203857422,,,,,,,,,,,,,,,,,,
0,999,,,,,,,,,,,,,,,,,,,,,,,25.320011138916016,0.89610356092453,1.0,1000.0,0.0,0.0,1.0,0.320252388715744,12.750412940979004,382.36859130859375,0.9285714030265808,38.52761459350586,998504.0,0.6420165300369263,12.706010818481445,9.934967041015625,-9.796724319458008,22.50275230407715
0,999,32.43760681152344,,0.7795751690864563,,1.0,,0.0,,0.0,,0.3931904137134552,,43.60398864746094,,13.442981719970703,,12.52796459197998,,-12.414131164550781,,25.857118606567383,,,,,,,,,,,,,,,,,,,
1,1049,,33.251953125,,0.7744140625,,1.0,,0.0,,0.0,,0.3787388801574707,,44.1552734375,,14.434178352355957,,12.255640029907227,,-12.153863906860352,,26.588043212890625,,,,,,,,,,,,,,,,,,
1,1099,,32.314453125,,0.779296875,,1.0,,0.0,,0.0,,0.3687892556190491,,43.96484375,,13.954977989196777,,11.987722396850586,,-11.89554214477539,,25.850521087646484,,,,,,,,,,,,,,,,,,
1,1149,,33.37890625,,0.755859375,,1.0,,0.0,,0.0,,0.369978129863739,,43.525390625,,14.058609008789062,,12.196805953979492,,-12.120288848876953,,26.178897857666016,,,,,,,,,,,,,,,,,,
1,1199,,32.3486328125,,0.78515625,,1.0,,0.0,,0.0,,0.37603771686553955,,43.5205078125,,14.24142837524414,,11.818363189697266,,-11.695390701293945,,25.936819076538086,,,,,,,,,,,,,,,,,,
1,1249,,31.513671875,,0.779296875,,1.0,,0.0,,0.0,,0.35859131813049316,,42.9736328125,,13.628204345703125,,11.580320358276367,,-11.484323501586914,,25.112529754638672,,,,,,,,,,,,,,,,,,
1,1299,,32.841796875,,0.76953125,,1.0,,0.0,,0.0,,0.3800424337387085,,44.2431640625,,14.30683708190918,,12.133487701416016,,-12.030365943908691,,26.337203979492188,,,,,,,,,,,,,,,,,,
1,1349,,31.85546875,,0.7880859375,,1.0,,0.0,,0.0,,0.37306544184684753,,42.9296875,,13.529302597045898,,12.346101760864258,,-12.275158882141113,,25.804460525512695,,,,,,,,,,,,,,,,,,
1,1399,,33.6376953125,,0.7568359375,,1.0,,0.0,,0.0,,0.37170296907424927,,43.9111328125,,14.319093704223633,,12.219642639160156,,-12.142529487609863,,26.461624145507812,,,,,,,,,,,,,,,,,,
