variant,method,display_name,epoch,train_method_loss,train_base_td_loss,validation_base_td_loss,train_metric_semantics,validation_metric_semantics,cross_method_ranking_metric
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,2,622.512329102,827.90637207,908.469116211,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,3,655.479064941,899.736938477,911.296936035,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,4,645.928588867,895.585205078,921.526062012,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,5,633.79309082,891.367553711,917.594116211,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,6,620.948242188,887.705078125,909.359924316,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,7,609.862792969,882.938476562,908.2109375,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,8,607.596923828,882.556884766,901.187011719,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,9,603.569763184,879.542358398,908.212646484,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g1,actor_free_td_lewm_v1_g1,V1-G1 Neighbor Action Advantage,10,604.266784668,881.11932373,905.668334961,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,1,438.072875977,409.260772705,638.226623535,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,2,598.318908691,818.964660645,910.218444824,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,3,561.735961914,889.816955566,904.234069824,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,4,540.908691406,865.489196777,880.719421387,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,5,548.585205078,856.456726074,881.395019531,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,6,587.12512207,863.055969238,882.945129395,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,7,620.394714355,866.927429199,892.138427734,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,8,653.579833984,871.973571777,891.890869141,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,9,678.537902832,872.255859375,894.23626709,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g2,actor_free_td_lewm_v1_g2,V1-G2 Prefix-Mean Advantage,10,688.672546387,872.85760498,894.454528809,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,1,444.429534912,436.969116211,697.314941406,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,2,552.787963867,852.087585449,902.207458496,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,3,529.086791992,868.120483398,871.554016113,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,4,508.634887695,844.883117676,871.346374512,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,5,512.682800293,848.244628906,872.831176758,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,6,546.172607422,856.593383789,879.491882324,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,7,616.621276855,861.650817871,885.388427734,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,8,676.29510498,870.220703125,899.312744141,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,9,723.374938965,872.61541748,897.070068359,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
g3,actor_free_td_lewm_v1_g3,V1-G3 Prefix-Marginal Advantage,10,722.493347168,874.674682617,897.862121582,method_specific_objective,common_base_td,false_use_formal_o50_f_plus_g
