variant,method,display_name,epoch,train_total_loss,train_prediction_loss,train_prediction_online_reference_mse,train_online_ema_latent_drift,train_base_hybrid_td_loss,train_method_hybrid_td_loss,validation_total_loss,validation_prediction_loss,validation_prediction_online_reference_mse,validation_online_ema_latent_drift,validation_base_hybrid_td_loss,validation_method_hybrid_td_loss
d,actor_free_td_lewm_v2_ema_sg_d,V2-EMA-SG-D Coupled Hybrid Goal-Value Weighted TD,9,2256.42895508,1.8289784193,1.69545781612,0.193887650967,3704.26831055,2253.43408203,4934.7265625,1.71700716019,1.78106486797,0.130169674754,4928.49414062,3383.56274414
d,actor_free_td_lewm_v2_ema_sg_d,V2-EMA-SG-D Coupled Hybrid Goal-Value Weighted TD,10,2569.79125977,1.78316283226,1.65744173527,0.189441919327,4004.7980957,2566.91430664,5385.5625,1.71314060688,1.86649703979,0.215222984552,5379.29052734,4911.09521484
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,1,1744.38354492,0.85455006361,0.638119220734,0.230444595218,3768.64477539,2941.04223633,5939.23828125,1.27378988266,1.06505143642,0.269406765699,5931.06835938,5260.76904297
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,2,3500.93164062,1.60466921329,1.31349682808,0.296813726425,5555.24365234,3497.57519531,7850.22216797,1.50455391407,1.48432672024,0.186443373561,7841.9375,6105.01269531
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,3,3985.0234375,1.93428874016,1.62899696827,0.329594194889,6483.86767578,3981.20581055,9802.92285156,1.94027984142,1.81862461567,0.37053078413,9793.88574219,7518.64892578
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,4,3695.92163086,2.07507061958,1.79579269886,0.31582185626,6133.94824219,3692.11914062,9407.09082031,2.00577569008,1.85239350796,0.217697441578,9399.73339844,7990.43212891
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,5,3364.46948242,2.02975988388,1.80594265461,0.274988651276,5497.15673828,3360.80126953,8266.84179688,1.99667000771,1.84280490875,0.17758564651,8259.6171875,6351.51904297
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,6,2967.50146484,2.00284385681,1.80853021145,0.257726788521,4834.07080078,2963.98632812,6435.66894531,1.86009681225,1.99992227554,0.279613167048,6428.50195312,4929.16894531
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,7,2617.68286133,1.94225263596,1.77473831177,0.231201022863,4269.33251953,2614.36328125,6024.29736328,1.75926542282,1.76578342915,0.117141969502,6017.50439453,4588.375
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,8,2407.30957031,1.89143168926,1.74102914333,0.211352273822,3937.02783203,2404.12011719,6242.65576172,1.8012996912,1.89672970772,0.207710176706,6236.11376953,4829.3984375
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,9,2430.76098633,1.85189521313,1.71103286743,0.194296464324,3989.89746094,2427.70996094,5157.24023438,1.74409604073,1.72870862484,0.130502581596,5151.05126953,3567.49487305
f,actor_free_td_lewm_v2_ema_sg_f,V2-EMA-SG-F Coupled Hybrid Same-Future Advantage,10,2649.17944336,1.80464565754,1.67179405689,0.188377201557,4292.71533203,2646.23291016,5638.38378906,1.69776988029,1.91614878178,0.235959738493,5631.88916016,4581.58691406
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,1,1741.72570801,0.915583372116,0.681771457195,0.245747059584,3046.32861328,2711.1628418,4596.39941406,1.38682699203,1.20939314365,0.326541543007,4588.64501953,4588.64453125
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,2,4145.34814453,1.84951460361,1.5023869276,0.334811836481,4707.09765625,4141.91601562,6829.16259766,2.02811694145,1.77727103233,0.256916761398,6821.01708984,6821.01708984
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,3,5100.58642578,2.29890847206,1.94078195095,0.380149930716,6069.89160156,5096.46630859,8795.78515625,2.29061746597,2.36887121201,0.504701435566,8786.90722656,8786.90722656
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,4,4975.69726562,2.47985649109,2.1474006176,0.378036946058,6085.09521484,4971.31201172,7524.03125,2.36702656746,2.3456351757,0.236867189407,7515.72314453,7515.72314453
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,5,4376.31640625,2.4936504364,2.21318936348,0.341653048992,5466.26953125,4371.88671875,7036.76464844,2.41464591026,2.31892251968,0.21774084866,7028.80761719,7028.80761719
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,6,3931.93286133,2.45691514015,2.20911931992,0.32527589798,4924.55273438,3927.60766602,5802.35644531,2.18041586876,2.31340742111,0.221897408366,5794.84228516,5794.84228516
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,7,3429.22290039,2.40518403053,2.18938422203,0.298902332783,4329.35742188,3425.00805664,5925.46826172,2.25587272644,2.35231113434,0.179127544165,5917.37841797,5917.37792969
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,8,3081.54956055,2.35641312599,2.1624455452,0.275723397732,3921.22216797,3077.45141602,5555.05664062,2.15205430984,2.27562093735,0.226796984673,5547.68457031,5547.68408203
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,9,3033.14282227,2.28349900246,2.0992872715,0.256020307541,3855.64648438,3029.14868164,4786.66064453,2.12148809433,2.15063977242,0.137930139899,4779.65869141,4779.65869141
