epoch,variant,method,score_mode,g_first_weight,success_count,success_rate,success_rate_percent,checkpoint_epoch,checkpoint_global_step,checkpoint_sha256,training_manifest_sha256,evaluation_commit,source_scope,source_status,cell_id
4,c,actor_free_td_lewm_v2_ema_sg_c,f_plus_g_first,0.25,16,0.32,32.0,4,51184,5c0a6f6402799cb6f53075f5b5a67c165887df46b9b0f446d537614cdb73d5f5,85f830c8da0dbcf8c4d95429181680a79f5d9ef19044f1bfc98cbfb923d5b906,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_c_f_plus_g_first_alpha_0p25
4,c,actor_free_td_lewm_v2_ema_sg_c,g_only_f_rollout_mean,,20,0.4,40.0,4,51184,5c0a6f6402799cb6f53075f5b5a67c165887df46b9b0f446d537614cdb73d5f5,85f830c8da0dbcf8c4d95429181680a79f5d9ef19044f1bfc98cbfb923d5b906,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_c_g_only_f_rollout_mean
4,d,actor_free_td_lewm_v2_ema_sg_d,f_plus_g_first,0.25,18,0.36,36.0,4,51184,d973d6624642c6037d62ab3cc68f4407e3732258b7bc93ca8c33802b010f9522,d00ce602e3ad2aa4c764a04d864b7888b50ce794b4c06b138471b61afc16df1e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_d_f_plus_g_first_alpha_0p25
4,d,actor_free_td_lewm_v2_ema_sg_d,g_only_f_rollout_mean,,23,0.46,46.0,4,51184,d973d6624642c6037d62ab3cc68f4407e3732258b7bc93ca8c33802b010f9522,d00ce602e3ad2aa4c764a04d864b7888b50ce794b4c06b138471b61afc16df1e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_d_g_only_f_rollout_mean
4,f,actor_free_td_lewm_v2_ema_sg_f,f_plus_g_first,0.25,22,0.44,44.0,4,51184,8c6481a4e42fa46ff6d5f9126e08d7c2b975375fd1d07b386e9e69ef5bc21557,b7b0c347ad46f129ec4deb2a569297f04e065f8cc7c93cbec8bd3ac6fac3c0c4,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_f_f_plus_g_first_alpha_0p25
4,f,actor_free_td_lewm_v2_ema_sg_f,g_only_f_rollout_mean,,25,0.5,50.0,4,51184,8c6481a4e42fa46ff6d5f9126e08d7c2b975375fd1d07b386e9e69ef5bc21557,b7b0c347ad46f129ec4deb2a569297f04e065f8cc7c93cbec8bd3ac6fac3c0c4,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_f_g_only_f_rollout_mean
4,g1,actor_free_td_lewm_v2_ema_sg_g1,f_plus_g_first,0.25,15,0.3,30.0,4,51184,67ffa8ae819eef8ebb275d1e6514ffe0eff5880a2a0058106c26f2fa7d485a7c,03a89ab793d18f269755252de46103388376fb8aff0e985c4940ff3cfb5c8785,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_g1_f_plus_g_first_alpha_0p25
4,g1,actor_free_td_lewm_v2_ema_sg_g1,g_only_f_rollout_mean,,16,0.32,32.0,4,51184,67ffa8ae819eef8ebb275d1e6514ffe0eff5880a2a0058106c26f2fa7d485a7c,03a89ab793d18f269755252de46103388376fb8aff0e985c4940ff3cfb5c8785,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_g1_g_only_f_rollout_mean
4,g2,actor_free_td_lewm_v2_ema_sg_g2,f_plus_g_first,0.25,21,0.42,42.0,4,51184,e487871dcc59db231a7492f4bb83a61c93818a4d94f1d89874ff90b691035bbf,5fc1b204e7250ccfcbfda8f0bb2e184be5d9cffe89f16561f2c1d4bea52bf50e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_g2_f_plus_g_first_alpha_0p25
4,g2,actor_free_td_lewm_v2_ema_sg_g2,g_only_f_rollout_mean,,16,0.32,32.0,4,51184,e487871dcc59db231a7492f4bb83a61c93818a4d94f1d89874ff90b691035bbf,5fc1b204e7250ccfcbfda8f0bb2e184be5d9cffe89f16561f2c1d4bea52bf50e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_g2_g_only_f_rollout_mean
4,g3,actor_free_td_lewm_v2_ema_sg_g3,f_plus_g_first,0.25,20,0.4,40.0,4,51184,5e1006ff2ebcd1b1d801b94c8f70b98e433a91380adf033acccf635d2d739a31,b7352c0b8006e2247a1fb03472e13089f32f023728b4e63581bec8437f301d5a,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_g3_f_plus_g_first_alpha_0p25
4,g3,actor_free_td_lewm_v2_ema_sg_g3,g_only_f_rollout_mean,,23,0.46,46.0,4,51184,5e1006ff2ebcd1b1d801b94c8f70b98e433a91380adf033acccf635d2d739a31,b7352c0b8006e2247a1fb03472e13089f32f023728b4e63581bec8437f301d5a,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e04_g3_g_only_f_rollout_mean
5,c,actor_free_td_lewm_v2_ema_sg_c,f_plus_g_first,0.25,24,0.48,48.0,5,63980,fcd4206796d40b92d7c2ae1b3fab56ac18c014ec8ce194d26dce2cbd9c0d2886,85f830c8da0dbcf8c4d95429181680a79f5d9ef19044f1bfc98cbfb923d5b906,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_c_f_plus_g_first_alpha_0p25
5,c,actor_free_td_lewm_v2_ema_sg_c,g_only_f_rollout_mean,,14,0.28,28.0,5,63980,fcd4206796d40b92d7c2ae1b3fab56ac18c014ec8ce194d26dce2cbd9c0d2886,85f830c8da0dbcf8c4d95429181680a79f5d9ef19044f1bfc98cbfb923d5b906,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_c_g_only_f_rollout_mean
5,d,actor_free_td_lewm_v2_ema_sg_d,f_plus_g_first,0.25,17,0.34,34.0,5,63980,f51941726aea691e46b6887c2ccaf18e564a967a32fbdd21494cb4be1c5ccd64,d00ce602e3ad2aa4c764a04d864b7888b50ce794b4c06b138471b61afc16df1e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_d_f_plus_g_first_alpha_0p25
5,d,actor_free_td_lewm_v2_ema_sg_d,g_only_f_rollout_mean,,21,0.42,42.0,5,63980,f51941726aea691e46b6887c2ccaf18e564a967a32fbdd21494cb4be1c5ccd64,d00ce602e3ad2aa4c764a04d864b7888b50ce794b4c06b138471b61afc16df1e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_d_g_only_f_rollout_mean
5,f,actor_free_td_lewm_v2_ema_sg_f,f_plus_g_first,0.25,18,0.36,36.0,5,63980,1bf5239fb49cd747eecfef560732e73b8280c61f9ba46f9d57eac3d19223274d,b7b0c347ad46f129ec4deb2a569297f04e065f8cc7c93cbec8bd3ac6fac3c0c4,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_f_f_plus_g_first_alpha_0p25
5,f,actor_free_td_lewm_v2_ema_sg_f,g_only_f_rollout_mean,,19,0.38,38.0,5,63980,1bf5239fb49cd747eecfef560732e73b8280c61f9ba46f9d57eac3d19223274d,b7b0c347ad46f129ec4deb2a569297f04e065f8cc7c93cbec8bd3ac6fac3c0c4,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_f_g_only_f_rollout_mean
5,g1,actor_free_td_lewm_v2_ema_sg_g1,f_plus_g_first,0.25,18,0.36,36.0,5,63980,bb7b27f86596a6d3150874c29dcf0a65798ff2580d3eb2925c7c4c36f2e300ff,03a89ab793d18f269755252de46103388376fb8aff0e985c4940ff3cfb5c8785,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_g1_f_plus_g_first_alpha_0p25
5,g1,actor_free_td_lewm_v2_ema_sg_g1,g_only_f_rollout_mean,,15,0.3,30.0,5,63980,bb7b27f86596a6d3150874c29dcf0a65798ff2580d3eb2925c7c4c36f2e300ff,03a89ab793d18f269755252de46103388376fb8aff0e985c4940ff3cfb5c8785,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_g1_g_only_f_rollout_mean
5,g2,actor_free_td_lewm_v2_ema_sg_g2,f_plus_g_first,0.25,18,0.36,36.0,5,63980,ff090c445391f6c0cb54e016081b6cd86b3a920d88763c56093efaaf2d29e142,5fc1b204e7250ccfcbfda8f0bb2e184be5d9cffe89f16561f2c1d4bea52bf50e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_g2_f_plus_g_first_alpha_0p25
5,g2,actor_free_td_lewm_v2_ema_sg_g2,g_only_f_rollout_mean,,16,0.32,32.0,5,63980,ff090c445391f6c0cb54e016081b6cd86b3a920d88763c56093efaaf2d29e142,5fc1b204e7250ccfcbfda8f0bb2e184be5d9cffe89f16561f2c1d4bea52bf50e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_g2_g_only_f_rollout_mean
5,g3,actor_free_td_lewm_v2_ema_sg_g3,f_plus_g_first,0.25,17,0.34,34.0,5,63980,d3de2af3c916497b93c10c91b9df428a1c016efba45f9e4610f790dce1bb39c4,b7352c0b8006e2247a1fb03472e13089f32f023728b4e63581bec8437f301d5a,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_g3_f_plus_g_first_alpha_0p25
5,g3,actor_free_td_lewm_v2_ema_sg_g3,g_only_f_rollout_mean,,17,0.34,34.0,5,63980,d3de2af3c916497b93c10c91b9df428a1c016efba45f9e4610f790dce1bb39c4,b7352c0b8006e2247a1fb03472e13089f32f023728b4e63581bec8437f301d5a,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e05_g3_g_only_f_rollout_mean
6,c,actor_free_td_lewm_v2_ema_sg_c,f_plus_g_first,0.25,20,0.4,40.0,6,76776,e7902482da1b024b239de761a1c75bb9659395771537fad98c0449a0b543993b,85f830c8da0dbcf8c4d95429181680a79f5d9ef19044f1bfc98cbfb923d5b906,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_c_f_plus_g_first_alpha_0p25
6,c,actor_free_td_lewm_v2_ema_sg_c,g_only_f_rollout_mean,,17,0.34,34.0,6,76776,e7902482da1b024b239de761a1c75bb9659395771537fad98c0449a0b543993b,85f830c8da0dbcf8c4d95429181680a79f5d9ef19044f1bfc98cbfb923d5b906,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_c_g_only_f_rollout_mean
6,d,actor_free_td_lewm_v2_ema_sg_d,f_plus_g_first,0.25,16,0.32,32.0,6,76776,3789170c47961f0c88d6fdd02bfbbe932c97b34a3b4826f21b588aab1d391329,d00ce602e3ad2aa4c764a04d864b7888b50ce794b4c06b138471b61afc16df1e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_d_f_plus_g_first_alpha_0p25
6,d,actor_free_td_lewm_v2_ema_sg_d,g_only_f_rollout_mean,,20,0.4,40.0,6,76776,3789170c47961f0c88d6fdd02bfbbe932c97b34a3b4826f21b588aab1d391329,d00ce602e3ad2aa4c764a04d864b7888b50ce794b4c06b138471b61afc16df1e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_d_g_only_f_rollout_mean
6,f,actor_free_td_lewm_v2_ema_sg_f,f_plus_g_first,0.25,21,0.42,42.0,6,76776,fafdb0e8f1f0f11048c5aea8e95b52e2b55aa0087e29fd44a51c11b964b0f326,b7b0c347ad46f129ec4deb2a569297f04e065f8cc7c93cbec8bd3ac6fac3c0c4,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_f_f_plus_g_first_alpha_0p25
6,f,actor_free_td_lewm_v2_ema_sg_f,g_only_f_rollout_mean,,22,0.44,44.0,6,76776,fafdb0e8f1f0f11048c5aea8e95b52e2b55aa0087e29fd44a51c11b964b0f326,b7b0c347ad46f129ec4deb2a569297f04e065f8cc7c93cbec8bd3ac6fac3c0c4,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_f_g_only_f_rollout_mean
6,g1,actor_free_td_lewm_v2_ema_sg_g1,f_plus_g_first,0.25,15,0.3,30.0,6,76776,4c67445c146c4b5bbeab6616b23627292f8cae02030ad14edc50b83a2bc386e0,03a89ab793d18f269755252de46103388376fb8aff0e985c4940ff3cfb5c8785,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_g1_f_plus_g_first_alpha_0p25
6,g1,actor_free_td_lewm_v2_ema_sg_g1,g_only_f_rollout_mean,,18,0.36,36.0,6,76776,4c67445c146c4b5bbeab6616b23627292f8cae02030ad14edc50b83a2bc386e0,03a89ab793d18f269755252de46103388376fb8aff0e985c4940ff3cfb5c8785,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_g1_g_only_f_rollout_mean
6,g2,actor_free_td_lewm_v2_ema_sg_g2,f_plus_g_first,0.25,19,0.38,38.0,6,76776,2fdac2fe21ce594e3612bad10f6b82d1d3812ca95d49d20ad26154b0d32bbeea,5fc1b204e7250ccfcbfda8f0bb2e184be5d9cffe89f16561f2c1d4bea52bf50e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_g2_f_plus_g_first_alpha_0p25
6,g2,actor_free_td_lewm_v2_ema_sg_g2,g_only_f_rollout_mean,,21,0.42,42.0,6,76776,2fdac2fe21ce594e3612bad10f6b82d1d3812ca95d49d20ad26154b0d32bbeea,5fc1b204e7250ccfcbfda8f0bb2e184be5d9cffe89f16561f2c1d4bea52bf50e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_g2_g_only_f_rollout_mean
6,g3,actor_free_td_lewm_v2_ema_sg_g3,f_plus_g_first,0.25,20,0.4,40.0,6,76776,b8b4dfb537cd1f07aa46578f82bc5bd1433f5651f8b7792824fb7382a4f38971,b7352c0b8006e2247a1fb03472e13089f32f023728b4e63581bec8437f301d5a,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_g3_f_plus_g_first_alpha_0p25
6,g3,actor_free_td_lewm_v2_ema_sg_g3,g_only_f_rollout_mean,,22,0.44,44.0,6,76776,b8b4dfb537cd1f07aa46578f82bc5bd1433f5651f8b7792824fb7382a4f38971,b7352c0b8006e2247a1fb03472e13089f32f023728b4e63581bec8437f301d5a,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e06_g3_g_only_f_rollout_mean
